finding_id,root_cause,change_level,files,status,acceptance_check_ids,reviewer,evidence_ids,fingerprint
F01,wrong stylesheet import,product,web/main.js,resolved,product-build,self-review,product-build.log,405fe7ffae6d02c1e0fd5f2e2cb8bfd72405d561d62030de366a121ce94149d4
F02,grantor authorization not rechecked,backend,backend/infrastructure/database.ts,resolved,agent grant invalidated on initiator loss,self-review,product-tests.log,405fe7ffae6d02c1e0fd5f2e2cb8bfd72405d561d62030de366a121ce94149d4
F03,archived assignment preservation,backend,backend/application/tasks.ts,resolved,archived catalog retention,self-review,product-tests.log,405fe7ffae6d02c1e0fd5f2e2cb8bfd72405d561d62030de366a121ce94149d4
F04,optional service capability assumptions,adapter,ui/src/board/catalog-picker.js;ui/src/board/task-dialog.js,resolved,browser create and open task,self-review,browser snapshots,405fe7ffae6d02c1e0fd5f2e2cb8bfd72405d561d62030de366a121ce94149d4
F05,runtime ledger privilege missing,backend,backend/migrate.ts,resolved,readiness restricted runtime role,self-review,product-tests.log,405fe7ffae6d02c1e0fd5f2e2cb8bfd72405d561d62030de366a121ce94149d4
F06,eager illustration assets,product,ui/src/board/task-files-view.js,partial,product-build;full performance pending,self-review,product-build.log,405fe7ffae6d02c1e0fd5f2e2cb8bfd72405d561d62030de366a121ce94149d4
F07,routes registered after boot,test,tests/fixture.ts;tests/preview.ts,resolved,browser fixture boot,self-review,browser task flow,405fe7ffae6d02c1e0fd5f2e2cb8bfd72405d561d62030de366a121ce94149d4
F08,native fetch receiver binding,client,client/api.ts,resolved,browser create publish reload,self-review,browser task flow,405fe7ffae6d02c1e0fd5f2e2cb8bfd72405d561d62030de366a121ce94149d4
F09,consumed tarball rewritten in place,package,libraries/iquipage/package.json;products/sprintique/package-lock.json,resolved,public type check;detached install,self-review,product-build.log;detached-product.log,405fe7ffae6d02c1e0fd5f2e2cb8bfd72405d561d62030de366a121ce94149d4
SEC-R4-01,write response returns preserved content to a write-only grant,backend,backend/application/tasks.ts;backend/application/discussions.ts;backend/application/planning.ts;contracts/index.ts,resolved,SEC-01,cross-check vs pre-fix build,security-r4.test.ts,c4e016731b3e49c65dccf791437a9b9ea5f855f0c9066c2cff87de93c0dd1753
SEC-R4-02,retry receipt stores the whole growing transcript,backend,backend/application/commands.ts;backend/application/discussions.ts,resolved,SEC-02,cross-check vs pre-fix build,security-r4.test.ts,c4e016731b3e49c65dccf791437a9b9ea5f855f0c9066c2cff87de93c0dd1753
SEC-R4-03,uncommitted previews retain project-sized graphs without a budget,backend,backend/application/planning.ts;contracts/planning.ts;backend/migrate.ts,resolved,SEC-04,cross-check vs pre-fix build,security-r4.test.ts,c4e016731b3e49c65dccf791437a9b9ea5f855f0c9066c2cff87de93c0dd1753
SEC-R4-04,discussion writes took no project fence before authorization,backend,backend/application/discussions.ts;backend/infrastructure/database.ts,resolved,SEC-03,cross-check vs pre-fix build,security-r4.test.ts,c4e016731b3e49c65dccf791437a9b9ea5f855f0c9066c2cff87de93c0dd1753
SEC-R4-05,catalogue write did not recheck the live credential,backend,backend/http/catalogs.ts,resolved,SEC-03 fence shared,cross-check vs pre-fix build,product-tests.log,c4e016731b3e49c65dccf791437a9b9ea5f855f0c9066c2cff87de93c0dd1753
SEC-R4-06,anonymous readiness repeats database and storage work,backend,backend/http/app.ts;backend/http/limits.ts,resolved,SEC-05,cross-check vs pre-fix build,security-r4.test.ts,c4e016731b3e49c65dccf791437a9b9ea5f855f0c9066c2cff87de93c0dd1753
SEC-R4-07,image object count bypassed by repeating one asset id,contract,contracts/maps.ts;backend/application/media.ts;web/map-media.js,resolved,SEC-06,cross-check vs pre-fix build,security-r4.test.ts,c4e016731b3e49c65dccf791437a9b9ea5f855f0c9066c2cff87de93c0dd1753
SEC-R4-08,duplicate and parallel connections amplify obstacle routing,contract,contracts/maps.ts,partial,SEC-06,routing work budget still library-side,security-r4.test.ts,c4e016731b3e49c65dccf791437a9b9ea5f855f0c9066c2cff87de93c0dd1753
SEC-R4-09,quadratic markdown delimiter rescanning,library,libraries/iquipage/src/modules/markdown.js,resolved,DS security057,measured 27.5s -> 24ms at 80k,security057.test.cjs,c4e016731b3e49c65dccf791437a9b9ea5f855f0c9066c2cff87de93c0dd1753
SEC-R4-10,calendar reset renders an unvalidated time attribute,library,libraries/iquipage/src/modules/components.js,resolved,DS security057,cross-check vs pre-fix build,security057.test.cjs,c4e016731b3e49c65dccf791437a9b9ea5f855f0c9066c2cff87de93c0dd1753
SEC-R4-11,state attribute reaches class and role markup unnormalized,library,libraries/iquipage/src/modules/advanced-base.js;libraries/iquipage/src/modules/data-chart.js,resolved,DS security057,cross-check vs pre-fix build,security057.test.cjs,c4e016731b3e49c65dccf791437a9b9ea5f855f0c9066c2cff87de93c0dd1753
SEC-R4-12,public mark helper interpolates a class argument,library,libraries/iquipage/src/modules/icons.js,resolved,DS security057,cross-check vs pre-fix build,security057.test.cjs,c4e016731b3e49c65dccf791437a9b9ea5f855f0c9066c2cff87de93c0dd1753
SEC-R4-13,PDF preview navigates an HTML-typed blob in origin,library,libraries/iquipage/src/modules/media.js,resolved,code review,no DOM harness in this package,library-tests.log,c4e016731b3e49c65dccf791437a9b9ea5f855f0c9066c2cff87de93c0dd1753
SEC-R4-14,restore drill publishes private copies with trust authentication,operations,products/sprintique/scripts/backup-drill.mjs,code-fixed-not-executed,backup drill,not run in this session,none,c4e016731b3e49c65dccf791437a9b9ea5f855f0c9066c2cff87de93c0dd1753
